M,,m,,dim,,aug,,sus4,,sus2,,7,,m7,,M7,,m7b5,,7b5,,7sus4,,add9,,madd9,,mM7,,dim7,,6,,m6,,69,,m69,,7(b9),,7(9),,7(#9),,7(#11),,7(b13),,7(13),,m7(9),,m7(11),,M7(9),,mM7(9),,M7b5,,dim M7,,aug 7,,aug M7,,b5,,5,,8,
2,64,2,63,2,63,2,64,2,65,2,62,2,64,2,63,2,64,2,63,2,64,2,65,2,64,2,63,2,63,2,63,2,64,2,63,2,64,2,63,2,64,2,64,2,64,2,64,2,64,2,64,2,63,2,63,2,64,2,63,2,64,2,63,2,64,2,64,2,64,2,60,2,60
2,65,2,63,2,63,2,64,2,65,2,65,2,64,2,63,2,64,2,63,2,64,2,65,2,62,2,62,2,63,2,63,2,64,2,63,2,64,2,63,2,64,2,64,2,64,2,66,2,64,2,64,2,63,2,63,2,64,2,63,2,64,2,63,2,64,2,64,2,64,2,65,2,65
2,66,2,66,2,65,2,67,2,66,2,66,2,66,2,66,2,66,2,65,2,65,2,66,2,66,2,66,2,66,2,65,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,66,2,65,2,65,2,67,2,67,2,65,2,66,2,66
2,67,2,67,2,66,2,68,2,67,2,67,2,67,2,67,2,67,2,66,2,66,2,67,2,67,2,67,2,67,2,66,2,67,2,67,2,69,2,69,2,70,2,70,2,70,2,66,2,68,2,69,2,70,2,65,2,71,2,71,2,66,2,66,2,68,2,68,2,66,2,67,2,72
2,68,2,66,2,65,2,67,2,66,2,66,2,69,2,69,2,70,2,69,2,65,2,66,2,66,2,66,2,66,2,65,2,69,2,67,2,69,2,69,2,69,2,69,2,69,2,69,2,67,2,69,2,69,2,69,2,70,2,66,2,65,2,65,2,67,2,67,2,65,2,68,2,68
2,69,2,67,2,66,2,68,2,67,2,67,2,70,2,70,2,71,2,70,2,66,2,67,2,67,2,67,2,67,2,66,2,69,2,69,2,69,2,69,2,70,2,70,2,70,2,70,2,70,2,69,2,70,2,70,2,71,2,67,2,66,2,66,2,68,2,68,2,66,2,69,2,69
2,70,2,67,2,66,2,68,2,67,2,67,2,70,2,70,2,71,2,70,2,70,2,70,2,74,2,74,2,71,2,66,2,69,2,69,2,69,2,69,2,70,2,70,2,70,2,70,2,70,2,70,2,70,2,70,2,71,2,71,2,71,2,71,2,70,2,71,2,66,2,70,2,70
2,71,2,72,2,72,2,72,2,72,2,72,2,70,2,70,2,71,2,70,2,70,2,70,2,72,2,72,2,71,2,72,2,72,2,72,2,72,2,72,2,70,2,70,2,70,2,70,2,70,2,70,2,70,2,70,2,71,2,71,2,71,2,71,2,70,2,71,2,72,2,71,2,71
2,72,2,72,2,72,2,72,2,72,2,72,2,70,2,70,2,71,2,70,2,70,2,70,2,74,2,74,2,71,2,69,2,69,2,69,2,74,2,74,2,73,2,74,2,75,2,70,2,70,2,70,2,74,2,70,2,74,2,74,2,71,2,71,2,70,2,71,2,72,2,72,2,72
3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,59,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,59,3,60,3,60,3,60,3,60,3,60,3,60,3,60,3,60
3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,60,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,60,3,61,3,61,3,61,3,61,3,61,3,61,3,61,3,61
